BHK,project,Location,City,Total sqft,price_sqft,price
2,,Thane West,Mumbai,850,"18,000",1.53 Cr
2 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,483,"5,000",24.15 L
1 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,352,"5,000",17.60 L
2 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,497,"5,000",24.85 L
1 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,382,"5,000",19.10 L
2 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,499,"5,000",24.95 L
1 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,380,"5,000",19.00 L
1 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,398,"5,000",19.90 L
1 BHK Apartment,Agarwal ParamountVirar,Virar,Mumbai,381,"5,000",19.05 L
3 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,1470,"90,000",13.23 Cr
2 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,737,"90,000",6.63 Cr
3 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,1474,"90,000",13.27 Cr
2 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,735,"90,000",6.62 Cr
2 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,676,"90,000",6.08 Cr
2 BHK Apartment,Roha Realty Roha VatikaKurla,Kurla,Mumbai,539,"25,000",1.35 Cr
3 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,1352,"90,000",12.17 Cr
1 BHK Apartment,Roha Realty Roha VatikaKurla,Kurla,Mumbai,444,"25,000",1.11 Cr
3 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,1385,"90,000",12.46 Cr
2 BHK Apartment,Roha Realty Roha VatikaKurla,Kurla,Mumbai,558,"25,000",1.40 Cr
2 BHK Apartment,Roha Realty Roha VatikaKurla,Kurla,Mumbai,512,"25,000",1.28 Cr
2 BHK Apartment,Lodha VistaLower Parel,Lower Parel,Mumbai,679,"90,000",6.11 Cr
1 BHK Apartment,Roha Realty Roha VatikaKurla,Kurla,Mumbai,439,"25,000",1.10 Cr
2,,Nilje Gaon,Mumbai,1503,"25,000",3.76 Cr
3 BHK Apartment,Lodha Palava Lakeshore GreensDombivali,Dombivali,Mumbai,1180,"12,000",1.42 Cr
1,,Palava,Mumbai,682,"25,000",1.71 Cr
3 BHK Apartment,Lodha Palava Lakeshore GreensDombivali,Dombivali,Mumbai,1180,"12,000",1.42 Cr
1,,Palava,Mumbai,682,"25,000",1.71 Cr
2 BHK Apartment,Lodha Palava Lakeshore GreensDombivali,Dombivali,Mumbai,1098,"12,000",1.32 Cr
1,,Nilje Gaon,Mumbai,585,"25,000",1.46 Cr
2 BHK Apartment,Lodha Palava Lakeshore GreensDombivali,Dombivali,Mumbai,981,"12,000",1.18 Cr
2 BHK Apartment,Lodha Casa Rio GoldDombivali,Dombivali,Mumbai,1503,"12,000",1.80 Cr
2 BHK Apartment,Lodha Casa RioDombivali,Dombivali,Mumbai,1044,"12,000",1.25 Cr
2 BHK Apartment,Lodha Casa BellaDombivali,Dombivali,Mumbai,864,"12,000",1.04 Cr
3 BHK Apartment,Lodha Casa RioDombivali,Dombivali,Mumbai,1098,"12,000",1.32 Cr
3 BHK Apartment,Lodha Palava Trinity A To CDombivali,Dombivali,Mumbai,1699,"12,000",2.04 Cr
3 BHK Apartment,Lodha Palava Serenity DDombivali,Dombivali,Mumbai,1699,"12,000",2.04 Cr
2 BHK Apartment,Lodha Casa RioDombivali,Dombivali,Mumbai,881,"12,000",1.06 Cr
3,,Dombivali East,Mumbai,1098,"12,000",1.32 Cr
2,,Koper Khairane,Mumbai,1000,"25,000",2.50 Cr
1,,Dombivali East,Mumbai,648,"12,000",77.76 L
1,,Koper Khairane,Mumbai,650,"25,000",1.62 Cr
3 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,967,"30,000",2.90 Cr
2 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,639,"30,000",1.92 Cr
3 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,938,"30,000",2.81 Cr
2 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,532,"30,000",1.60 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,605,"25,000",1.51 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,747,"25,000",1.87 Cr
3 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,958,"30,000",2.87 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,781,"25,000",1.95 Cr
2 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,662,"30,000",1.99 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,812,"25,000",2.03 Cr
3 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,1194,"30,000",3.58 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,644,"25,000",1.61 Cr
2 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,602,"30,000",1.81 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,611,"25,000",1.53 Cr
2 BHK Apartment,Dosti Eastern Bay Phase 1Wadala,Wadala,Mumbai,673,"35,000",2.36 Cr
3 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,1334,"30,000",4.00 Cr
2 BHK Apartment,SD Codename Hello EpicSewri,Sewri,Mumbai,821,"25,000",2.05 Cr
3 BHK Apartment,Dosti Eastern Bay Phase 1Wadala,Wadala,Mumbai,965,"35,000",3.38 Cr
2 BHK Apartment,Dosti Mezzo 22Sion,Sion,Mumbai,698,"30,000",2.09 Cr
2,,Dombivali East,Mumbai,715,"12,000",85.80 L
1,,Dombivali East,Mumbai,495,"12,000",59.40 L
2 BHK Apartment,Shree EmpireDombivali,Dombivali,Mumbai,930,"12,000",1.12 Cr
1 BHK Apartment,Shree EmpireDombivali,Dombivali,Mumbai,635,"12,000",76.20 L
1 BHK Apartment,Shree Raj Uma ComplexDombivali,Dombivali,Mumbai,662,"12,000",79.44 L
1 RK Studio Apartment,Shree Jiyanshi PrideDombivali,Dombivali,Mumbai,410,"12,000",49.20 L
1 BHK Apartment,Dhanashree Devyani Galaxy B WingDombivali,Dombivali,Mumbai,620,"12,000",74.40 L
1 RK Studio Apartment,Dhanashree Devyani Galaxy B WingDombivali,Dombivali,Mumbai,400,"12,000",48.00 L
2 BHK Apartment,Shree Mangalmurti GalaxyDombivali,Dombivali,Mumbai,800,"12,000",96.00 L
1 BHK Apartment,Reputed Builder Dhanashree PrathamaDombivali,Dombivali,Mumbai,480,"12,000",57.60 L
2 BHK Apartment,Reputed Builder Dhanashree PrathamaDombivali,Dombivali,Mumbai,725,"12,000",87.00 L
1 BHK Apartment,Shree Mangalmurti GalaxyDombivali,Dombivali,Mumbai,515,"12,000",61.80 L
1 RK Studio Apartment,Reputed Builder Dhanashree PrathamaDombivali,Dombivali,Mumbai,350,"12,000",42.00 L
1 BHK Apartment,Satyam Developer Sundaram PlazaDombivali,Dombivali,Mumbai,495,"12,000",59.40 L
1,,Dombivli (West),Mumbai,510,"25,000",1.27 Cr
1,,Dombivali East,Mumbai,570,"12,000",68.40 L
1 RK Studio Apartment,Reputed Builder Dhanashree PrathamaDombivali,Dombivali,Mumbai,415,"12,000",49.80 L
1,,Dombivali East,Mumbai,515,"12,000",61.80 L
2,,Dombivali East,Mumbai,710,"12,000",85.20 L
1,,Dombivali East,Mumbai,545,"12,000",65.40 L
1 BHK Apartment,Ljtanna LJ Tanna PanoramaDombivali,Dombivali,Mumbai,629,"12,000",75.48 L
2 BHK Apartment,Dhanashree Devyani Galaxy B WingDombivali,Dombivali,Mumbai,830,"12,000",99.60 L
1,,Dombivali East,Mumbai,310,"12,000",37.20 L
2,,Dombivali East,Mumbai,770,"12,000",92.40 L
1,,Dombivali East,Mumbai,540,"12,000",64.80 L
1 BHK Apartment,Attractive HeightDombivali,Dombivali,Mumbai,615,"12,000",73.80 L
1,,Dombivali East,Mumbai,570,"12,000",68.40 L
1 BHK Apartment,Attractive HeightDombivali,Dombivali,Mumbai,575,"12,000",69.00 L
2 BHK Apartment,Satyam Developer Sundaram PlazaDombivali,Dombivali,Mumbai,795,"12,000",95.40 L
1,,Dombivali East,Mumbai,510,"12,000",61.20 L
1,,Dombivli (West),Mumbai,320,"25,000",80.00 L
3,,Bandra East,Mumbai,1300,"65,000",8.45 Cr
2 BHK Apartment,JP Codename Dream Home Tower BMira Road East,Mira Road East,Mumbai,1155,"12,000",1.39 Cr
2 BHK Apartment,JP Codename Dream Home Tower BMira Road East,Mira Road East,Mumbai,1155,"12,000",1.39 Cr
1 BHK Apartment,Reputed Builder AnantaMira Road East,Mira Road East,Mumbai,604,"12,000",72.48 L
3 BHK Apartment,Reputed Builder AnantaMira Road East,Mira Road East,Mumbai,1086,"12,000",1.30 Cr
2 BHK Apartment,Reputed Builder AnantaMira Road East,Mira Road East,Mumbai,851,"12,000",1.02 Cr
2 BHK Apartment,JP Codename Dream Home Tower BMira Road East,Mira Road East,Mumbai,1155,"12,000",1.39 Cr
1 BHK Apartment,JP Codename Dream Home Tower BMira Road East,Mira Road East,Mumbai,788,"12,000",94.56 L
1 BHK Apartment,JP Codename Dream Home Tower BMira Road East,Mira Road East,Mumbai,788,"12,000",94.56 L
2 BHK Apartment,Radheya Sai EnclaveNaigaon East,Naigaon East,Mumbai,1025,"25,000",2.56 Cr
1 BHK Apartment,Rustomjee Virar Avenue L1 L2 And L4 Wing C And DVirar,Virar,Mumbai,331,"5,000",16.55 L
2 BHK Apartment,Rustomjee Virar Avenue L1 L2 And L4 Wing C And DVirar,Virar,Mumbai,512,"5,000",25.60 L
1 BHK Apartment,Kalina VillageSantacruz East,Santacruz East,Mumbai,650,"45,000",2.92 Cr
2 BHK Apartment,Bachraj LifespaceVirar,Virar,Mumbai,499,"5,000",24.95 L
1 BHK Apartment,Bachraj LifespaceVirar,Virar,Mumbai,347,"5,000",17.35 L
2 BHK Apartment,Bachraj LifespaceVirar,Virar,Mumbai,498,"5,000",24.90 L
3,,Santacruz East,Mumbai,1470,"45,000",6.62 Cr
1 BHK Apartment,Bachraj LifespaceVirar,Virar,Mumbai,373,"5,000",18.65 L
1 BHK Apartment,Lodha Majiwada Tower 1Thane West,Thane West,Mumbai,455,"18,000",81.90 L
1,,Thakurli,Mumbai,600,"25,000",1.50 Cr
1,,Kalwa,Mumbai,700,"25,000",1.75 Cr
2,,Kalwa,Mumbai,1100,"25,000",2.75 Cr
2,,Kalwa,Mumbai,945,"25,000",2.36 Cr
1,,Kalwa,Mumbai,675,"25,000",1.69 Cr
2,,Kalwa,Mumbai,950,"25,000",2.38 Cr
1 BHK Apartment,K Raheja Raheja ResidencyMalad East,Malad East,Mumbai,690,"20,000",1.38 Cr
3,,Goregaon East,Mumbai,1287,"24,000",3.09 Cr
1,,Goregaon East,Mumbai,575,"24,000",1.38 Cr
5 BHK Apartment,Goyal Lakshchandi HeightsGoregaon East,Goregaon East,Mumbai,2600,"24,000",6.24 Cr
2 BHK Apartment,Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,1050,"20,000",2.10 Cr
1 BHK Apartment,Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,600,"20,000",1.20 Cr
3 BHK Apartment,Jyoti SukritiGoregaon East,Goregaon East,Mumbai,1100,"24,000",2.64 Cr
2 BHK Apartment,Jyoti SukritiGoregaon East,Goregaon East,Mumbai,1000,"24,000",2.40 Cr
3 BHK Apartment,Reputed Builder RaghavMalad East,Malad East,Mumbai,1200,"20,000",2.40 Cr
3 BHK Apartment,Jyoti SukritiGoregaon East,Goregaon East,Mumbai,1100,"24,000",2.64 Cr
2 BHK Apartment,Jyoti SukritiGoregaon East,Goregaon East,Mumbai,1000,"24,000",2.40 Cr
3 BHK Apartment,Reputed Builder RaghavMalad East,Malad East,Mumbai,1200,"20,000",2.40 Cr
2 BHK Apartment,Sheth Vasant ValleyMalad East,Malad East,Mumbai,1000,"20,000",2.00 Cr
3 BHK Apartment,Dynamix AstrumMalad East,Malad East,Mumbai,1900,"20,000",3.80 Cr
2 BHK Apartment,Dynamix AstrumMalad East,Malad East,Mumbai,1050,"20,000",2.10 Cr
2 BHK Apartment,Prima Upper East 97Malad East,Malad East,Mumbai,1050,"20,000",2.10 Cr
2 BHK Apartment,JP DecksMalad East,Malad East,Mumbai,1050,"20,000",2.10 Cr
3 BHK Apartment,JP DecksMalad East,Malad East,Mumbai,2200,"20,000",4.40 Cr
2 BHK Apartment,Lakshachandi HeightsGoregaon East,Goregaon East,Mumbai,1050,"24,000",2.52 Cr
3 BHK Apartment,Prima Upper East 97Malad East,Malad East,Mumbai,1800,"20,000",3.60 Cr
2 BHK Apartment,K Raheja Raheja ResidencyMalad East,Malad East,Mumbai,1000,"20,000",2.00 Cr
3 BHK Apartment,Lakshachandi HeightsGoregaon East,Goregaon East,Mumbai,1700,"24,000",4.08 Cr
2 BHK Apartment,Sheth Vasant Valley Ivy TowerMalad East,Malad East,Mumbai,1050,"20,000",2.10 Cr
4 BHK Apartment,Sheth Vasant Valley Ivy TowerMalad East,Malad East,Mumbai,2000,"20,000",4.00 Cr
1 BHK Apartment,Puraniks Puraniks City Phase 1Thane West,Thane West,Mumbai,600,"18,000",1.08 Cr
2 BHK Apartment,ACME OzoneThane West,Thane West,Mumbai,800,"18,000",1.44 Cr
3 BHK Apartment,Sheth Auris Ilaria Tower BMalad West,Malad West,Mumbai,785,"22,000",1.73 Cr
3 BHK Apartment,Sheth Auris Ilaria Tower BMalad West,Malad West,Mumbai,787,"22,000",1.73 Cr
2 BHK Apartment,Sheth Auris Ilaria Tower BMalad West,Malad West,Mumbai,570,"22,000",1.25 Cr
2 BHK Apartment,Sheth Auris Ilaria Tower BMalad West,Malad West,Mumbai,578,"22,000",1.27 Cr
1 BHK Apartment,Sheth Auris Ilaria Tower BMalad West,Malad West,Mumbai,398,"22,000",87.56 L
2 BHK Apartment,Mahaavir Exotique Phase 1Taloja,Taloja,Mumbai,577,"25,000",1.44 Cr
1 BHK Apartment,Mahaavir Exotique Phase 1Taloja,Taloja,Mumbai,424,"25,000",1.06 Cr
2 BHK Apartment,Mahaavir Exotique Phase 1Taloja,Taloja,Mumbai,595,"25,000",1.49 Cr
2 BHK Apartment,Mahaavir Exotique Phase 1Taloja,Taloja,Mumbai,602,"25,000",1.50 Cr
3 BHK Apartment,Mahaavir Exotique Phase 1Taloja,Taloja,Mumbai,700,"25,000",1.75 Cr
4 BHK Apartment,Wadhwa PrabhadeviPrabhadevi,Prabhadevi,Mumbai,3250,"70,000",22.75 Cr
2 BHK Apartment,Sugee SanskrutiWorli,Worli,Mumbai,1250,"80,000",10.00 Cr
3 BHK Apartment,Kesar Exotica Phase I Basement Plus Ground Plus Upper 14 FloorsKharghar,Kharghar,Mumbai,1515,"12,000",1.82 Cr
2 BHK Apartment,Kesar Exotica Phase I Basement Plus Ground Plus Upper 14 FloorsKharghar,Kharghar,Mumbai,1215,"12,000",1.46 Cr
2,,Kharghar,Mumbai,1215,"12,000",1.46 Cr
1 BHK Apartment,Luv Concept RiversideTaloja,Taloja,Mumbai,419,"25,000",1.05 Cr
2 BHK Apartment,Luv Concept RiversideTaloja,Taloja,Mumbai,585,"25,000",1.46 Cr
3 BHK Apartment,Neminath LuxeriaAndheri West,Andheri West,Mumbai,1600,"35,000",5.60 Cr
1,,Bhandup East,Mumbai,608,"20,000",1.22 Cr
1,,Kalwa,Mumbai,620,"25,000",1.55 Cr
1,,Kalwa,Mumbai,950,"25,000",2.38 Cr
1,,Kalwa,Mumbai,650,"25,000",1.62 Cr
1 RK Studio Apartment,HDIL Dheeraj Savera 1Borivali East,Borivali East,Mumbai,415,"16,000",66.40 L
2 BHK Apartment,Swaraj Homes Press Enclave Aarambh CHSSion,Sion,Mumbai,1445,"30,000",4.33 Cr
2 BHK Apartment,JP DecksMalad East,Malad East,Mumbai,1290,"20,000",2.58 Cr
2 BHK Apartment,DB WoodsGoregaon East,Goregaon East,Mumbai,1566,"24,000",3.76 Cr
1 BHK Apartment,Dharti PressidioKandivali West,Kandivali West,Mumbai,550,"24,000",1.32 Cr
2 BHK Apartment,Gurukrupa Marina EnclaveMalad West,Malad West,Mumbai,854,"22,000",1.88 Cr
2 BHK Apartment,Sheth Auris Serenity Tower 2Malad West,Malad West,Mumbai,1048,"22,000",2.31 Cr
3 BHK Apartment,Sheth Auris Serenity Tower 1Malad West,Malad West,Mumbai,1596,"22,000",3.51 Cr
1,,Malad West,Mumbai,210,"22,000",46.20 L
1 BHK Apartment,Reputed Builder Galaxy HeightsKandivali West,Kandivali West,Mumbai,450,"24,000",1.08 Cr
2 BHK Apartment,Royal OasisMalad West,Malad West,Mumbai,900,"22,000",1.98 Cr
1 BHK Apartment,Dharti PressidioKandivali West,Kandivali West,Mumbai,550,"24,000",1.32 Cr
2 BHK Apartment, Silicon ParkMalad West,Malad West,Mumbai,900,"22,000",1.98 Cr
1,,Malad West,Mumbai,350,"22,000",77.00 L
1,,Malad West,Mumbai,220,"22,000",48.40 L
1,,Malad West,Mumbai,350,"22,000",77.00 L
1,,Malad West,Mumbai,410,"22,000",90.20 L
1,,Malad West,Mumbai,300,"22,000",66.00 L
1 RK Studio Apartment,Reputed Builder New Mhada ColonyPowai,Powai,Mumbai,200,"38,000",76.00 L
1 BHK Apartment,Reputed Builder New Mhada TowersAndheri West,Andheri West,Mumbai,350,"35,000",1.23 Cr
1 BHK Apartment,Ruparel Optima Ph 1Kandivali West,Kandivali West,Mumbai,450,"24,000",1.08 Cr
3 BHK Apartment,Adhiraj MainlandKharghar,Kharghar,Mumbai,1600,"12,000",1.92 Cr
2,,Vikroli East,Mumbai,880,"25,000",2.20 Cr
1,,Vikroli East,Mumbai,570,"25,000",1.43 Cr
2,,Vikroli East,Mumbai,1120,"25,000",2.80 Cr
1 BHK Apartment,Reputed Builder Sai DeepVikroli East,Vikroli East,Mumbai,405,"25,000",1.01 Cr
1,,Vikroli East,Mumbai,530,"25,000",1.32 Cr
1,,Vikroli East,Mumbai,530,"25,000",1.32 Cr
1,,Bhandup East,Mumbai,608,"20,000",1.22 Cr
1,,Kalwa,Mumbai,620,"25,000",1.55 Cr
1,,Kalwa,Mumbai,950,"25,000",2.38 Cr
1,,Kalwa,Mumbai,650,"25,000",1.62 Cr
1 RK Studio Apartment,HDIL Dheeraj Savera 1Borivali East,Borivali East,Mumbai,415,"16,000",66.40 L
2 BHK Apartment,Swaraj Homes Press Enclave Aarambh CHSSion,Sion,Mumbai,1445,"30,000",4.33 Cr
2 BHK Apartment,JP DecksMalad East,Malad East,Mumbai,1290,"20,000",2.58 Cr
2 BHK Apartment,DB WoodsGoregaon East,Goregaon East,Mumbai,1566,"24,000",3.76 Cr
1 BHK Apartment,Dharti PressidioKandivali West,Kandivali West,Mumbai,550,"24,000",1.32 Cr
2 BHK Apartment,Gurukrupa Marina EnclaveMalad West,Malad West,Mumbai,854,"22,000",1.88 Cr
2 BHK Apartment,Sheth Auris Serenity Tower 2Malad West,Malad West,Mumbai,1048,"22,000",2.31 Cr
3 BHK Apartment,Sheth Auris Serenity Tower 1Malad West,Malad West,Mumbai,1596,"22,000",3.51 Cr
1,,Malad West,Mumbai,210,"22,000",46.20 L
1 BHK Apartment,Reputed Builder Galaxy HeightsKandivali West,Kandivali West,Mumbai,450,"24,000",1.08 Cr
